"longitude","latitude","school_code","countyMatch","isSchool"
-121.9856037,37.2839589,6047807,1,1
-121.7831284,37.2238651,6095400,1,1
-121.6311175,37.1230067,6118376,1,1
-121.6311175,37.1230067,43002,1,1
-122.13751,37.4129,6115562,1,1
-121.8436735,37.3757798,6046122,1,1
-122.081822,37.378191,6047955,1,1
-121.8473788,37.4021812,6111348,1,0
-122.0247508,37.3867637,6049142,1,1
-121.9218108,37.2989245,6046510,1,1
-121.956848,37.2343008,6047518,1,1
-121.8154243,37.2332748,6068936,1,1
-122.0252305,37.2891616,6067185,1,1
-121.9058075,37.2881426,6048474,1,1
-121.9756543,37.3579089,6048797,1,1
-121.9749235,37.3668768,6048805,1,1
-122.0185097,37.3644532,6048813,1,1
-121.9879753,37.3576944,6048821,1,1
-122.1300503,37.4075338,6048326,1,1
-121.8800132,37.3977717,6095335,1,1
-122.1149011,37.3964612,106534,1,1
-121.821798,37.284758,113662,1,1
-122.1149011,37.3964612,6047427,1,1
-121.9267276,37.3240021,6047575,1,1
-121.880966,37.441939,6047690,1,1
-121.880966,37.441939,6047872,1,1
-122.0261818,37.3150934,6046718,1,1
-121.963826,37.3431819,6048847,1,1
-121.7886401,37.306325,6047120,1,1
-121.8765928,37.2842589,6048490,1,1
-121.8765928,37.2842589,43003,1,1
-121.96473,37.2653543,6046536,1,1
-121.8394571,37.2882655,6047211,1,1
-121.9458621,37.2475587,6049316,1,1
-121.76956,37.321905,102616,1,1
-121.8552381,37.2699607,6093090,1,1
-121.829381,37.345013,6046312,1,1
-121.9475185,37.3012815,6046544,1,1
-122.0940855,37.3952826,6048003,1,1
-121.7933092,37.3321276,6067193,1,1
-121.8452304,37.3493427,6046239,1,1
-121.7259848,37.2053209,6118541,1,1
-122.0566005,37.3664548,6049167,1,1
-121.8645173,37.394137,6089288,1,1
-122.0355699,37.3466725,6046742,1,1
-122.0106366,37.2917676,6046932,1,1
-121.8185998,37.2796325,6048102,1,1
-122.0222551,37.3272106,6046759,1,1
-121.8508838,37.3252762,121483,1,1
-121.9424435,37.3319008,6048466,1,1
-121.9910309,37.2977371,6047740,1,1
-122.1070776,37.3715623,6047401,1,1
-122.0432872,37.3669917,6049175,1,1
-121.8151224,37.3682084,6046189,1,1
-121.9130872,37.4408304,6047674,1,1
-121.9130872,37.4408304,6047609,1,1
-122.0085399,37.3154022,6046775,1,1
-121.8295091,37.2818716,6047260,1,0
-121.9806541,37.2403692,6047526,1,1
-121.8363795,37.2572106,6072151,1,1
-121.9900365,37.3106456,6046965,1,1
-122.0080876,37.3064267,6047005,1,1
-121.9726442,37.3027965,111880,1,1
-121.9726442,37.3027965,127969,1,1
-121.9856533,37.3040205,6047815,1,1
-121.9464201,37.3984291,110700,1,1
-121.82743,37.3360198,6046155,1,1
-121.8101781,37.3007282,6107593,1,1
